date,Team_1,Team_2,Winner,Margin,Ground
11/17/2008,India,England,India,54 runs,Indore
11/20/2008,India,England,India,16 runs,Kanpur
11/23/2008,India,England,India,19 runs,Bengaluru
11/26/2008,India,England,India,6 wickets,Cuttack
11/29/2008,India,England,England,-,Guwahati
12/2/2008,India,England,England,-,Delhi
1/28/2009,Sri Lanka,India,India,6 wickets,Dambulla
1/31/2009,Sri Lanka,India,India,15 runs,Colombo (RPS)
2/3/2009,Sri Lanka,India,India,147 runs,Colombo (RPS)
2/5/2009,Sri Lanka,India,India,67 runs,Colombo (RPS)
2/8/2009,Sri Lanka,India,Sri Lanka,68 runs,Colombo (RPS)
3/3/2009,New Zealand,India,India,53 runs,Napier
3/6/2009,New Zealand,India,New Zealand,-,Wellington
3/8/2009,New Zealand,India,India,58 runs,Christchurch
3/11/2009,New Zealand,India,India,84 runs,Hamilton
3/14/2009,New Zealand,India,New Zealand,8 wickets,Auckland
6/26/2009,West Indies,India,India,20 runs,Kingston
6/28/2009,West Indies,India,West Indies,8 wickets,Kingston
7/3/2009,West Indies,India,India,6 wickets,Gros Islet
7/5/2009,West Indies,India,West Indies,-,Gros Islet
9/11/2009,India,New Zealand,India,6 wickets,Colombo (RPS)
9/12/2009,Sri Lanka,India,Sri Lanka,139 runs,Colombo (RPS)
9/14/2009,Sri Lanka,India,India,46 runs,Colombo (RPS)
9/26/2009,India,Pakistan,Pakistan,54 runs,Centurion
9/28/2009,Australia,India,Australia,-,Centurion
9/30/2009,India,West Indies,India,7 wickets,Johannesburg
10/25/2009,India,Australia,Australia,4 runs,Vadodara
10/28/2009,India,Australia,India,99 runs,Nagpur
10/31/2009,India,Australia,India,6 wickets,Delhi
11/2/2009,India,Australia,Australia,24 runs,Mohali
11/5/2009,India,Australia,Australia,3 runs,Hyderabad (Deccan)
11/8/2009,India,Australia,Australia,6 wickets,Guwahati
11/11/2009,India,Australia,Australia,-,Mumbai
12/15/2009,India,Sri Lanka,India,3 runs,Rajkot
12/18/2009,India,Sri Lanka,Sri Lanka,3 wickets,Nagpur
12/21/2009,India,Sri Lanka,India,7 wickets,Cuttack
12/24/2009,India,Sri Lanka,India,7 wickets,Kolkata
12/27/2009,India,Sri Lanka,Sri Lanka,-,Delhi
1/5/2010,India,Sri Lanka,Sri Lanka,5 wickets,Dhaka
1/7/2010,Bangladesh,India,India,6 wickets,Dhaka
1/10/2010,India,Sri Lanka,India,8 wickets,Dhaka
1/11/2010,Bangladesh,India,India,6 wickets,Dhaka
1/13/2010,India,Sri Lanka,Sri Lanka,4 wickets,Dhaka
2/21/2010,India,South Africa,India,1 runs,Jaipur
2/24/2010,India,South Africa,India,153 runs,Gwalior
2/27/2010,India,South Africa,South Africa,90 runs,Ahmedabad
5/28/2010,Zimbabwe,India,Zimbabwe,6 wickets,Bulawayo
5/30/2010,India,Sri Lanka,India,7 wickets,Bulawayo
6/3/2010,Zimbabwe,India,Zimbabwe,7 wickets,Harare
6/5/2010,India,Sri Lanka,Sri Lanka,6 wickets,Harare
6/16/2010,Bangladesh,India,India,6 wickets,Dambulla
6/19/2010,India,Pakistan,India,3 wickets,Dambulla
6/22/2010,Sri Lanka,India,Sri Lanka,7 wickets,Dambulla
6/24/2010,Sri Lanka,India,India,81 runs,Dambulla
8/10/2010,India,New Zealand,New Zealand,200 runs,Dambulla
8/16/2010,Sri Lanka,India,India,6 wickets,Dambulla
8/22/2010,Sri Lanka,India,Sri Lanka,8 wickets,Dambulla
8/25/2010,India,New Zealand,India,105 runs,Dambulla
8/28/2010,Sri Lanka,India,Sri Lanka,74 runs,Dambulla
10/17/2010,India,Australia,Australia,-,Kochi
10/20/2010,India,Australia,India,5 wickets,Visakhapatnam
10/24/2010,India,Australia,Australia,-,Margao
11/28/2010,India,New Zealand,India,40 runs,Guwahati
12/1/2010,India,New Zealand,India,8 wickets,Jaipur
12/4/2010,India,New Zealand,India,9 wickets,Vadodara
12/7/2010,India,New Zealand,India,5 wickets,Bengaluru
12/10/2010,India,New Zealand,India,8 wickets,Chennai
1/12/2011,South Africa,India,South Africa,135 runs,Durban
1/15/2011,South Africa,India,India,1 runs,Johannesburg
1/18/2011,South Africa,India,India,2 wickets,Cape Town
1/21/2011,South Africa,India,South Africa,48 runs,Port Elizabeth
1/23/2011,South Africa,India,South Africa,33 runs,Centurion
2/19/2011,Bangladesh,India,India,87 runs,Dhaka
2/27/2011,India,England,England,-,Bengaluru
3/6/2011,India,Ireland,India,5 wickets,Bengaluru
3/9/2011,India,Netherlands,India,5 wickets,Delhi
3/12/2011,India,South Africa,South Africa,3 wickets,Nagpur
3/20/2011,India,West Indies,India,80 runs,Chennai
3/24/2011,India,Australia,India,5 wickets,Ahmedabad
3/30/2011,India,Pakistan,India,29 runs,Mohali
4/2/2011,India,Sri Lanka,India,6 wickets,Mumbai
6/6/2011,West Indies,India,India,4 wickets,Port of Spain
6/8/2011,West Indies,India,India,7 wickets,Port of Spain
6/11/2011,West Indies,India,India,3 wickets,North Sound
6/13/2011,West Indies,India,West Indies,103 runs,North Sound
6/16/2011,West Indies,India,West Indies,7 wickets,Kingston
9/3/2011,England,India,England,-,Chester-le-Street
9/6/2011,England,India,England,7 wickets,Southampton
9/9/2011,England,India,England,3 wickets,The Oval
9/11/2011,England,India,England,-,Lord's
9/16/2011,England,India,England,6 wickets,Cardiff
10/14/2011,India,England,India,126 runs,Hyderabad (Deccan)
10/17/2011,India,England,India,8 wickets,Delhi
10/20/2011,India,England,India,5 wickets,Mohali
10/23/2011,India,England,India,6 wickets,Mumbai
10/25/2011,India,England,India,95 runs,Kolkata
11/29/2011,India,West Indies,India,1 wickets,Cuttack
12/2/2011,India,West Indies,India,5 wickets,Visakhapatnam
12/5/2011,India,West Indies,West Indies,16 runs,Ahmedabad
12/8/2011,India,West Indies,India,153 runs,Indore
12/11/2011,India,West Indies,India,34 runs,Chennai
2/5/2012,Australia,India,Australia,65 runs,Melbourne
2/8/2012,India,Sri Lanka,India,4 wickets,Perth
2/12/2012,Australia,India,India,4 wickets,Adelaide
2/14/2012,India,Sri Lanka,Sri Lanka,-,Adelaide
2/19/2012,Australia,India,Australia,110 runs,Brisbane
2/21/2012,India,Sri Lanka,Sri Lanka,51 runs,Brisbane
2/26/2012,Australia,India,Australia,87 runs,Sydney
2/28/2012,India,Sri Lanka,India,7 wickets,Hobart
3/13/2012,India,Sri Lanka,India,50 runs,Dhaka
3/16/2012,Bangladesh,India,Bangladesh,5 wickets,Dhaka
3/18/2012,India,Pakistan,India,6 wickets,Dhaka
7/21/2012,Sri Lanka,India,India,21 runs,Hambantota
7/24/2012,Sri Lanka,India,Sri Lanka,9 wickets,Hambantota
7/28/2012,Sri Lanka,India,India,5 wickets,Colombo (RPS)
7/31/2012,Sri Lanka,India,India,6 wickets,Colombo (RPS)
8/4/2012,Sri Lanka,India,India,20 runs,Pallekele
12/30/2012,India,Pakistan,Pakistan,6 wickets,Chennai
1/3/2013,India,Pakistan,Pakistan,85 runs,Kolkata
1/6/2013,India,Pakistan,India,10 runs,Delhi
1/11/2013,India,England,England,9 runs,Rajkot
1/15/2013,India,England,India,127 runs,Kochi
1/19/2013,India,England,India,7 wickets,Ranchi
1/23/2013,India,England,India,5 wickets,Mohali
1/27/2013,India,England,England,7 wickets,Dharamsala
6/6/2013,India,South Africa,India,26 runs,Cardiff
6/11/2013,India,West Indies,India,8 wickets,The Oval
6/15/2013,India,Pakistan,India,8 wickets,Birmingham
6/20/2013,India,Sri Lanka,India,8 wickets,Cardiff
6/23/2013,England,India,India,5 runs,Birmingham
6/30/2013,West Indies,India,West Indies,1 wickets,Kingston
7/2/2013,India,Sri Lanka,Sri Lanka,161 runs,Kingston
7/5/2013,West Indies,India,India,102 runs,Port of Spain
7/9/2013,India,Sri Lanka,India,81 runs,Port of Spain
7/11/2013,India,Sri Lanka,India,1 wickets,Port of Spain
7/24/2013,Zimbabwe,India,India,6 wickets,Harare
7/26/2013,Zimbabwe,India,India,58 runs,Harare
7/28/2013,Zimbabwe,India,India,7 wickets,Harare
8/1/2013,Zimbabwe,India,India,9 wickets,Bulawayo
8/3/2013,Zimbabwe,India,India,7 wickets,Bulawayo
10/13/2013,India,Australia,Australia,72 runs,Pune
10/16/2013,India,Australia,India,9 wickets,Jaipur
10/19/2013,India,Australia,Australia,4 wickets,Mohali
10/23/2013,India,Australia,Australia,-,Ranchi
10/26/2013,India,Australia,Australia,-,Cuttack
10/30/2013,India,Australia,India,6 wickets,Nagpur
11/2/2013,India,Australia,India,57 runs,Bengaluru
11/21/2013,India,West Indies,India,6 wickets,Kochi
11/24/2013,India,West Indies,West Indies,2 wickets,Visakhapatnam
11/27/2013,India,West Indies,India,5 wickets,Kanpur
12/5/2013,South Africa,India,South Africa,141 runs,Johannesburg
12/8/2013,South Africa,India,South Africa,134 runs,Durban
12/11/2013,South Africa,India,South Africa,-,Centurion
1/19/2014,New Zealand,India,New Zealand,24 runs,Napier
1/22/2014,New Zealand,India,New Zealand,15 runs,Hamilton
1/25/2014,New Zealand,India,New Zealand,-,Auckland
1/28/2014,New Zealand,India,New Zealand,7 wickets,Hamilton
1/31/2014,New Zealand,India,New Zealand,87 runs,Wellington
2/26/2014,Bangladesh,India,India,6 wickets,Fatullah
2/28/2014,India,Sri Lanka,Sri Lanka,2 wickets,Fatullah
3/2/2014,India,Pakistan,Pakistan,1 wickets,Dhaka
3/5/2014,Afghanistan,India,India,8 wickets,Dhaka
6/15/2014,Bangladesh,India,India,7 wickets,Dhaka
6/17/2014,Bangladesh,India,India,47 runs,Dhaka
6/19/2014,Bangladesh,India,Bangladesh,-,Dhaka
8/25/2014,England,India,England,-,Bristol
8/27/2014,England,India,India,133 runs,Cardiff
8/30/2014,England,India,India,6 wickets,Nottingham
9/2/2014,England,India,India,9 wickets,Birmingham
9/5/2014,England,India,England,41 runs,Leeds
10/8/2014,India,West Indies,West Indies,124 runs,Kochi
10/11/2014,India,West Indies,India,48 runs,Delhi
10/14/2014,India,West Indies,West Indies,-,Visakhapatnam
10/17/2014,India,West Indies,India,59 runs,Dharamsala
10/20/2014,India,West Indies,West Indies,-,Kolkata
11/2/2014,India,Sri Lanka,India,169 runs,Cuttack
11/6/2014,India,Sri Lanka,India,6 wickets,Ahmedabad
11/9/2014,India,Sri Lanka,India,6 wickets,Hyderabad (Deccan)
11/13/2014,India,Sri Lanka,India,153 runs,Kolkata
11/16/2014,India,Sri Lanka,India,3 wickets,Ranchi
1/18/2015,Australia,India,Australia,4 wickets,Melbourne
1/20/2015,England,India,England,9 wickets,Brisbane
1/26/2015,Australia,India,Australia,-,Sydney
1/30/2015,England,India,England,3 wickets,Perth
2/15/2015,India,Pakistan,India,76 runs,Adelaide
2/22/2015,India,South Africa,India,130 runs,Melbourne
2/28/2015,India,U.A.E.,India,9 wickets,Perth
3/6/2015,India,West Indies,India,4 wickets,Perth
3/10/2015,India,Ireland,India,8 wickets,Hamilton
3/14/2015,India,Zimbabwe,India,6 wickets,Auckland
3/19/2015,Bangladesh,India,India,109 runs,Melbourne
3/26/2015,Australia,India,Australia,95 runs,Sydney
6/18/2015,Bangladesh,India,Bangladesh,79 runs,Dhaka
6/21/2015,Bangladesh,India,Bangladesh,6 wickets,Dhaka
6/24/2015,Bangladesh,India,India,77 runs,Dhaka
7/10/2015,Zimbabwe,India,India,4 runs,Harare
7/12/2015,Zimbabwe,India,India,62 runs,Harare
7/14/2015,Zimbabwe,India,India,83 runs,Harare
10/11/2015,India,South Africa,South Africa,5 runs,Kanpur
10/14/2015,India,South Africa,India,22 runs,Indore
10/18/2015,India,South Africa,South Africa,18 runs,Rajkot
10/22/2015,India,South Africa,India,35 runs,Chennai
10/25/2015,India,South Africa,South Africa,214 runs,Mumbai
1/12/2016,Australia,India,Australia,5 wickets,Perth
1/15/2016,Australia,India,Australia,7 wickets,Brisbane
1/17/2016,Australia,India,Australia,3 wickets,Melbourne
1/20/2016,Australia,India,Australia,25 runs,Canberra
1/23/2016,Australia,India,India,6 wickets,Sydney
6/11/2016,Zimbabwe,India,India,9 wickets,Harare
6/13/2016,Zimbabwe,India,India,8 wickets,Harare
6/15/2016,Zimbabwe,India,India,10 wickets,Harare
10/16/2016,India,New Zealand,India,6 wickets,Dharamsala
10/20/2016,India,New Zealand,New Zealand,6 runs,Delhi
10/23/2016,India,New Zealand,India,7 wickets,Mohali
10/26/2016,India,New Zealand,New Zealand,19 runs,Ranchi
10/29/2016,India,New Zealand,India,190 runs,Visakhapatnam
1/15/2017,India,England,India,3 wickets,Pune
1/19/2017,India,England,India,15 runs,Cuttack
1/22/2017,India,England,England,5 runs,Kolkata
6/4/2017,India,Pakistan,India,124 runs,Birmingham
6/8/2017,India,Sri Lanka,Sri Lanka,7 wickets,The Oval
6/11/2017,India,South Africa,India,8 wickets,The Oval
6/15/2017,Bangladesh,India,India,9 wickets,Birmingham
6/18/2017,India,Pakistan,Pakistan,180 runs,The Oval
6/23/2017,West Indies,India,West Indies,-,Port of Spain
6/25/2017,West Indies,India,India,105 runs,Port of Spain
6/30/2017,West Indies,India,India,93 runs,North Sound
7/2/2017,West Indies,India,West Indies,11 runs,North Sound
7/6/2017,West Indies,India,India,8 wickets,Kingston
8/20/2017,Sri Lanka,India,India,9 wickets,Dambulla
8/24/2017,Sri Lanka,India,India,3 wickets,Pallekele
8/27/2017,Sri Lanka,India,India,6 wickets,Pallekele
8/31/2017,Sri Lanka,India,India,168 runs,Colombo (RPS)
9/3/2017,Sri Lanka,India,India,6 wickets,Colombo (RPS)
9/17/2017,India,Australia,India,26 runs,Chennai
9/21/2017,India,Australia,India,50 runs,Kolkata
9/24/2017,India,Australia,India,5 wickets,Indore
9/28/2017,India,Australia,Australia,21 runs,Bengaluru
10/1/2017,India,Australia,India,7 wickets,Nagpur
10/22/2017,India,New Zealand,New Zealand,6 wickets,Mumbai
10/25/2017,India,New Zealand,India,6 wickets,Pune
10/29/2017,India,New Zealand,India,6 runs,Kanpur
12/10/2017,India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala
12/13/2017,India,Sri Lanka,India,141 runs,Mohali
12/17/2017,India,Sri Lanka,India,8 wickets,Visakhapatnam
2/1/2018,South Africa,India,India,6 wickets,Durban
2/4/2018,South Africa,India,India,9 wickets,Centurion
2/7/2018,South Africa,India,India,124 runs,Cape Town
2/10/2018,South Africa,India,South Africa,5 wickets,Johannesburg
2/13/2018,South Africa,India,India,73 runs,Port Elizabeth
2/16/2018,South Africa,India,India,8 wickets,Centurion
7/12/2018,England,India,India,8 wickets,Nottingham
7/14/2018,England,India,England,86 runs,Lord's
7/17/2018,England,India,England,8 wickets,Leeds
9/18/2018,Hong Kong,India,India,26 runs,Dubai (DSC)
9/19/2018,India,Pakistan,India,8 wickets,Dubai (DSC)
9/21/2018,Bangladesh,India,India,7 wickets,Dubai (DSC)
9/23/2018,India,Pakistan,India,9 wickets,Dubai (DSC)
9/25/2018,Afghanistan,India,Afghanistan,-,Dubai (DSC)
9/28/2018,Bangladesh,India,India,3 wickets,Dubai (DSC)
10/21/2018,India,West Indies,India,8 wickets,Guwahati
10/24/2018,India,West Indies,West Indies,-,Visakhapatnam
10/27/2018,India,West Indies,West Indies,43 runs,Pune
10/29/2018,India,West Indies,India,224 runs,Mumbai (BS)
11/1/2018,India,West Indies,India,9 wickets,Thiruvananthapuram
1/12/2019,Australia,India,Australia,34 runs,Sydney
1/15/2019,Australia,India,India,6 wickets,Adelaide
1/18/2019,Australia,India,India,7 wickets,Melbourne
1/23/2019,New Zealand,India,India,8 wickets,Napier
1/26/2019,New Zealand,India,India,90 runs,Mount Maunganui
1/28/2019,New Zealand,India,India,7 wickets,Mount Maunganui
1/31/2019,New Zealand,India,New Zealand,8 wickets,Hamilton
2/3/2019,New Zealand,India,India,35 runs,Wellington
3/2/2019,India,Australia,India,6 wickets,Hyderabad (Deccan)
3/5/2019,India,Australia,India,8 runs,Nagpur
3/8/2019,India,Australia,Australia,32 runs,Ranchi
3/10/2019,India,Australia,Australia,4 wickets,Mohali
3/13/2019,India,Australia,Australia,35 runs,Delhi
6/5/2019,India,South Africa,India,6 wickets,Southampton
6/9/2019,Australia,India,India,36 runs,The Oval
6/13/2019,India,New Zealand,New Zealand,-,Nottingham
6/16/2019,India,Pakistan,India,89 runs,Manchester
6/22/2019,Afghanistan,India,India,11 runs,Southampton
6/27/2019,India,West Indies,India,125 runs,Manchester
6/30/2019,England,India,England,31 runs,Birmingham
7/2/2019,Bangladesh,India,India,28 runs,Birmingham
7/6/2019,India,Sri Lanka,India,7 wickets,Leeds
7/9/2019,India,New Zealand,New Zealand,18 runs,Manchester
8/8/2019,West Indies,India,West Indies,-,Providence
8/11/2019,West Indies,India,India,59 runs,Port of Spain
8/14/2019,West Indies,India,India,6 wickets,Port of Spain
12/15/2019,India,West Indies,West Indies,8 wickets,Chennai
12/18/2019,India,West Indies,India,107 runs,Visakhapatnam
12/22/2019,India,West Indies,India,4 wickets,Cuttack
1/14/2020,India,Australia,Australia,10 wickets,Mumbai
1/17/2020,India,Australia,India,36 runs,Rajkot
1/19/2020,India,Australia,India,7 wickets,Bengaluru
2/5/2020,New Zealand,India,New Zealand,4 wickets,Hamilton
2/8/2020,New Zealand,India,New Zealand,22 runs,Auckland
2/11/2020,New Zealand,India,New Zealand,5 wickets,Mount Maunganui
3/12/2020,India,South Africa,South Africa,-,Dharamsala
3/15/2020,India,South Africa,South Africa,-,Lucknow
3/18/2020,India,South Africa,South Africa,-,Kolkata
2/17/2001,New Zealand,Pakistan,Pakistan,6 wickets,Auckland
2/20/2001,New Zealand,Pakistan,New Zealand,6 wickets,Napier
2/22/2001,New Zealand,Pakistan,Pakistan,28 runs,Wellington
2/25/2001,New Zealand,Pakistan,New Zealand,138 runs,Christchurch
2/28/2001,New Zealand,Pakistan,New Zealand,4 wickets,Dunedin
4/8/2001,Pakistan,Sri Lanka,Pakistan,16 runs,Sharjah
4/12/2001,New Zealand,Pakistan,Pakistan,8 wickets,Sharjah
4/13/2001,Pakistan,Sri Lanka,Pakistan,28 runs,Sharjah
4/15/2001,New Zealand,Pakistan,Pakistan,7 wickets,Sharjah
4/20/2001,Pakistan,Sri Lanka,Sri Lanka,77 runs,Sharjah
6/7/2001,England,Pakistan,Pakistan,108 runs,Birmingham
6/9/2001,Australia,Pakistan,Australia,7 wickets,Cardiff
6/12/2001,England,Pakistan,Pakistan,2 runs,Lord's
6/16/2001,Australia,Pakistan,Australia,-,Chester-le-Street
6/17/2001,England,Pakistan,Pakistan,,Leeds
6/19/2001,Australia,Pakistan,Pakistan,36 runs,Nottingham
6/23/2001,Australia,Pakistan,Australia,9 wickets,Lord's
10/27/2001,Pakistan,Sri Lanka,Sri Lanka,7 wickets,Sharjah
10/28/2001,Pakistan,Zimbabwe,Pakistan,106 runs,Sharjah
10/31/2001,Pakistan,Zimbabwe,Pakistan,29 runs,Sharjah
11/2/2001,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah
11/4/2001,Pakistan,Sri Lanka,Pakistan,5 wickets,Sharjah
1/22/2002,Bangladesh,Pakistan,Pakistan,49 runs,Chattogram
1/24/2002,Bangladesh,Pakistan,Pakistan,72 runs,Dhaka
1/25/2002,Bangladesh,Pakistan,Pakistan,8 wickets,Dhaka
2/14/2002,Pakistan,West Indies,Pakistan,4 wickets,Sharjah
2/15/2002,Pakistan,West Indies,Pakistan,51 runs,Sharjah
2/17/2002,Pakistan,West Indies,West Indies,110 runs,Sharjah
4/8/2002,Pakistan,Sri Lanka,Sri Lanka,41 runs,Sharjah
4/11/2002,New Zealand,Pakistan,Pakistan,51 runs,Sharjah
4/12/2002,Pakistan,Sri Lanka,Sri Lanka,9 runs,Sharjah
4/15/2002,New Zealand,Pakistan,Pakistan,8 wickets,Sharjah
4/17/2002,Pakistan,Sri Lanka,Pakistan,217 runs,Sharjah
4/21/2002,Pakistan,New Zealand,Pakistan,153 runs,Karachi
4/24/2002,Pakistan,New Zealand,Pakistan,3 wickets,Rawalpindi
4/27/2002,Pakistan,New Zealand,Pakistan,66 runs,Lahore
6/12/2002,Australia,Pakistan,Australia,7 wickets,Melbourne (Docklands)
6/15/2002,Australia,Pakistan,Pakistan,2 wickets,Melbourne (Docklands)
6/19/2002,Australia,Pakistan,Pakistan,91 runs,Brisbane
8/12/2002,Pakistan,South Africa,South Africa,54 runs,Tangier
8/14/2002,Pakistan,Sri Lanka,Pakistan,28 runs,Tangier
8/17/2002,Pakistan,Sri Lanka,Sri Lanka,39 runs,Tangier
8/18/2002,Pakistan,South Africa,South Africa,8 runs,Tangier
8/29/2002,Kenya,Pakistan,Pakistan,4 wickets,Nairobi (Gym)
8/30/2002,Australia,Pakistan,Australia,224 runs,Nairobi (Gym)
9/1/2002,Kenya,Pakistan,Pakistan,7 wickets,Nairobi (Gym)
9/4/2002,Australia,Pakistan,Australia,9 wickets,Nairobi (Gym)
9/7/2002,Australia,Pakistan,Australia,-,Nairobi (Gym)
9/12/2002,Sri Lanka,Pakistan,Sri Lanka,8 wickets,Colombo (RPS)
9/21/2002,Netherlands,Pakistan,Pakistan,9 wickets,Colombo (SSC)
11/23/2002,Zimbabwe,Pakistan,Pakistan,7 runs,Bulawayo
11/24/2002,Zimbabwe,Pakistan,Pakistan,104 runs,Bulawayo
11/27/2002,Zimbabwe,Pakistan,Pakistan,48 runs,Harare
11/30/2002,Zimbabwe,Pakistan,Pakistan,8 wickets,Harare
12/1/2002,Zimbabwe,Pakistan,Pakistan,70 runs,Harare
12/8/2002,South Africa,Pakistan,South Africa,132 runs,Durban
12/11/2002,South Africa,Pakistan,Pakistan,182 runs,Port Elizabeth
12/13/2002,South Africa,Pakistan,South Africa,62 runs,East London
12/16/2002,South Africa,Pakistan,South Africa,9 wickets,Paarl
12/18/2002,South Africa,Pakistan,South Africa,34 runs,Cape Town
2/11/2003,Australia,Pakistan,Australia,82 runs,Johannesburg
2/16/2003,Namibia,Pakistan,Pakistan,171 runs,Kimberley
2/22/2003,England,Pakistan,England,112 runs,Cape Town
2/25/2003,Netherlands,Pakistan,Pakistan,97 runs,Paarl
3/1/2003,India,Pakistan,India,6 wickets,Centurion
3/4/2003,Zimbabwe,Pakistan,Zimbabwe,-,Bulawayo
4/3/2003,Pakistan,Zimbabwe,Pakistan,68 runs,Sharjah
4/4/2003,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah
4/8/2003,Kenya,Pakistan,Pakistan,143 runs,Sharjah
4/10/2003,Pakistan,Zimbabwe,Pakistan,8 wickets,Sharjah
5/10/2003,Sri Lanka,Pakistan,Pakistan,79 runs,Dambulla
5/11/2003,New Zealand,Pakistan,New Zealand,7 wickets,Dambulla
5/18/2003,Sri Lanka,Pakistan,Sri Lanka,12 runs,Dambulla
5/20/2003,New Zealand,Pakistan,Pakistan,22 runs,Dambulla
5/23/2003,New Zealand,Pakistan,New Zealand,4 wickets,Dambulla
6/17/2003,England,Pakistan,Pakistan,2 wickets,Manchester
6/20/2003,England,Pakistan,England,7 wickets,The Oval
6/22/2003,England,Pakistan,England,4 wickets,Lord's
9/9/2003,Pakistan,Bangladesh,Pakistan,137 runs,Multan
9/12/2003,Pakistan,Bangladesh,Pakistan,74 runs,Faisalabad
9/15/2003,Pakistan,Bangladesh,Pakistan,42 runs,Lahore
9/18/2003,Pakistan,Bangladesh,Pakistan,5 wickets,Rawalpindi
9/21/2003,Pakistan,Bangladesh,Pakistan,58 runs,Karachi
10/3/2003,Pakistan,South Africa,Pakistan,8 runs,Lahore
10/5/2003,Pakistan,South Africa,Pakistan,42 runs,Lahore
10/7/2003,Pakistan,South Africa,South Africa,13 runs,Faisalabad
10/10/2003,Pakistan,South Africa,South Africa,6 wickets,Rawalpindi
10/12/2003,Pakistan,South Africa,South Africa,7 wickets,Rawalpindi
11/29/2003,Pakistan,New Zealand,Pakistan,3 wickets,Lahore
12/1/2003,Pakistan,New Zealand,Pakistan,124 runs,Lahore
12/3/2003,Pakistan,New Zealand,Pakistan,51 runs,Faisalabad
12/5/2003,Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi
12/7/2003,Pakistan,New Zealand,Pakistan,49 runs,Rawalpindi
1/3/2004,New Zealand,Pakistan,New Zealand,4 wickets,Auckland
1/7/2004,New Zealand,Pakistan,Pakistan,6 wickets,Queenstown
1/10/2004,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch
1/14/2004,New Zealand,Pakistan,New Zealand,8 wickets,Napier
1/17/2004,New Zealand,Pakistan,New Zealand,4 runs,Wellington
3/13/2004,Pakistan,India,India,5 runs,Karachi
3/16/2004,Pakistan,India,Pakistan,12 runs,Rawalpindi
3/19/2004,Pakistan,India,Pakistan,4 wickets,Peshawar
3/21/2004,Pakistan,India,India,5 wickets,Lahore
3/24/2004,Pakistan,India,India,40 runs,Lahore
7/17/2004,Bangladesh,Pakistan,Pakistan,76 runs,Colombo (SSC)
7/18/2004,Hong Kong,Pakistan,Pakistan,173 runs,Colombo (SSC)
7/21/2004,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (RPS)
7/25/2004,India,Pakistan,Pakistan,59 runs,Colombo (RPS)
7/29/2004,Bangladesh,Pakistan,Pakistan,6 wickets,Colombo (RPS)
8/21/2004,India,Pakistan,Pakistan,66 runs,Amstelveen
8/25/2004,Australia,Pakistan,Australia,-,Amstelveen
8/28/2004,Australia,Pakistan,Australia,17 runs,Amstelveen
9/4/2004,Australia,Pakistan,Australia,10 runs,Lord's
9/14/2004,Kenya,Pakistan,Pakistan,7 wickets,Birmingham
9/19/2004,India,Pakistan,Pakistan,3 wickets,Birmingham
9/22/2004,Pakistan,West Indies,West Indies,7 wickets,Southampton
9/30/2004,Pakistan,Zimbabwe,Pakistan,144 runs,Multan
10/3/2004,Pakistan,Zimbabwe,Pakistan,3 wickets,Peshawar
10/6/2004,Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi
10/14/2004,Pakistan,Sri Lanka,Pakistan,6 wickets,Lahore
10/16/2004,Pakistan,Sri Lanka,Sri Lanka,119 runs,Lahore
11/13/2004,India,Pakistan,Pakistan,6 wickets,Kolkata
1/16/2005,Australia,Pakistan,Australia,4 wickets,Hobart
1/19/2005,Pakistan,West Indies,Pakistan,6 wickets,Brisbane
1/23/2005,Australia,Pakistan,Australia,9 wickets,Sydney
1/28/2005,Pakistan,West Indies,West Indies,58 runs,Adelaide
1/30/2005,Australia,Pakistan,Pakistan,3 wickets,Perth
2/1/2005,Pakistan,West Indies,Pakistan,30 runs,Perth
2/4/2005,Australia,Pakistan,Australia,18 runs,Melbourne
2/6/2005,Australia,Pakistan,Australia,31 runs,Sydney
4/2/2005,India,Pakistan,India,87 runs,Kochi
4/5/2005,India,Pakistan,India,58 runs,Visakhapatnam
4/9/2005,India,Pakistan,Pakistan,106 runs,Jamshedpur
4/12/2005,India,Pakistan,Pakistan,3 wickets,Ahmedabad
4/15/2005,India,Pakistan,Pakistan,5 wickets,Kanpur
4/17/2005,India,Pakistan,Pakistan,159 runs,Delhi
5/18/2005,West Indies,Pakistan,Pakistan,59 runs,Kingstown
5/21/2005,West Indies,Pakistan,Pakistan,40 runs,Gros Islet
5/22/2005,West Indies,Pakistan,Pakistan,22 runs,Gros Islet
12/10/2005,Pakistan,England,England,42 runs,Lahore
12/12/2005,Pakistan,England,Pakistan,7 wickets,Lahore
12/15/2005,Pakistan,England,Pakistan,165 runs,Karachi
12/19/2005,Pakistan,England,Pakistan,13 runs,Rawalpindi
12/21/2005,Pakistan,England,England,6 runs,Rawalpindi
2/6/2006,Pakistan,India,Pakistan,7 runs,Peshawar
2/11/2006,Pakistan,India,India,7 wickets,Rawalpindi
2/13/2006,Pakistan,India,India,5 wickets,Lahore
