,name,date,Versus,Ground,batting_runs,batting_aggregate,batting_average,bowling_wickets,bowling_aggregate,bowling_average,fielding_catches,fielding_aggregate,keeping_catches,keeping_stumps,keeping_aggregate,Age_Match,team1_name,team1_score,team2_name,team2_score,team1_total_wickets,team2_total_wickets
108,Callum Ferguson,2/2/2011,England,Sydney Cricket Ground,46,645,46.07,,0,,,7,,,,26 years 72 days,Australia,334,England,333,6,8
109,Callum Ferguson,6/2/2011,England,WACA Ground,15,660,44,,0,,,7,,,,26 years 76 days,Australia,279,England,222,10,7
110,Callum Ferguson,11/4/2011,Bangladesh,Shere Bangla National Stadium,-,660,44,,0,,,7,,,,26 years 140 days,Australia,232,Bangladesh,229,7,1
111,Callum Ferguson,13/04/2011,Bangladesh,Shere Bangla National Stadium,3,663,41.44,,0,,,7,,,,26 years 142 days,Australia,361,Bangladesh,295,6,8
112,Aaron Finch,29/02/2020,South Africa,Boland Park,10,4731,40.78,,4,62,,59,,,,33 years 103 days,Australia,217,South Africa,291,7,10
113,Aaron Finch,4/3/2020,South Africa,Mangaung Oval,69,4800,41.03,,4,62,1,60,,,,33 years 107 days,Australia,271,South Africa,274,4,10
114,Aaron Finch,7/3/2020,South Africa,Senwes Park,22,4822,40.86,0/11,4,64.75,,60,,,,33 years 110 days,Australia,254,South Africa,258,4,7
115,Aaron Finch,13/03/2020,New Zealand,Sydney Cricket Ground,60,4882,41.03,,4,64.75,,60,,,,33 years 116 days,Australia,258,New Zealand,187,10,7
116,Aaron Finch,11/9/2020,England,Old Trafford,16,4898,40.82,,4,64.75,,60,,,,33 years 298 days,Australia,294,England,275,9,9
117,Aaron Finch,13/09/2020,England,Old Trafford,73,4971,41.08,,4,64.75,1,61,,,,33 years 300 days,Australia,207,England,231,9,10
118,Aaron Finch,16/09/2020,England,Old Trafford,12,4983,40.84,,4,64.75,1,62,,,,33 years 303 days,Australia,305,England,302,7,7
119,Aaron Finch,27/11/2020,India,Sydney Cricket Ground,114,5097,41.44,,4,64.75,1,63,,,,34 years 10 days,Australia,374,India,308,8,6
120,Aaron Finch,29/11/2020,India,Sydney Cricket Ground,60,5157,41.59,,4,64.75,,63,,,,34 years 12 days,Australia,389,India,338,9,4
121,Aaron Finch,2/12/2020,India,Manuka Oval,75,5232,41.86,,4,64.75,,63,,,,34 years 15 days,Australia,289,India,302,5,10
122,Cameron Green,2/12/2020,India,Manuka Oval,21,21,21,0/27,0,,,0,,,,21 years 182 days,Australia,289,India,302,5,10
123,Peter Handscomb,5/3/2019,India,Vidarbha Cricket Association Stadium,48,367,30.58,,0,,,2,,,5,27 years 313 days,Australia,242,India,250,10,10
124,Peter Handscomb,8/3/2019,India,JSCA International Stadium Complex,0,367,28.23,,0,,,2,,,5,27 years 316 days,Australia,313,India,281,10,5
125,Peter Handscomb,10/3/2019,India,Punjab Cricket Association IS Bindra Stadium,117,484,34.57,,0,,1,3,,,5,27 years 318 days,Australia,359,India,358,9,6
126,Peter Handscomb,13/03/2019,India,Arun Jaitley Stadium,52,536,35.73,,0,,,3,,,5,27 years 321 days,Australia,272,India,237,10,9
127,Peter Handscomb,22/03/2019,Pakistan,Sharjah Cricket Stadium,30*,566,37.73,,0,,,3,,,5,27 years 330 days,Australia,281,Pakistan,280,5,2
128,Peter Handscomb,23/03/2019,Pakistan,Sharjah Cricket Stadium,-,566,37.73,,0,,2,5,,,5,27 years 331 days,Australia,285,Pakistan,284,7,2
129,Peter Handscomb,27/03/2019,Pakistan,Sheikh Zayed Stadium,47,613,38.31,,0,,2,7,,,5,27 years 335 days,Australia,266,Pakistan,186,10,6
130,Peter Handscomb,29/03/2019,Pakistan,Dubai International Cricket Stadium,7,620,36.47,,0,,2,9,,,5,27 years 337 days,Australia,277,Pakistan,271,8,7
131,Peter Handscomb,31/03/2019,Pakistan,Dubai International Cricket Stadium,8,628,34.89,,0,,,9,,,5,27 years 339 days,Australia,327,Pakistan,307,7,7
132,Peter Handscomb,11/7/2019,England,Edgbaston,4,632,33.26,,0,,,9,,,5,28 years 76 days,Australia,223,England,226,2,10
133,John Hastings,8/2/2016,New Zealand,Seddon Park,6,180,25.71,Feb-42,24,34.38,2,5,,,,30 years 95 days,Australia,191,New Zealand,246,10,10
134,John Hastings,28/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,5*,185,26.43,Feb-41,26,33.31,,5,,,,30 years 297 days,Australia,227,Sri Lanka,226,10,8
135,John Hastings,31/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,-,185,26.43,Jun-45,32,28.47,,5,,,,30 years 300 days,Australia,217,Sri Lanka,212,10,4
136,John Hastings,4/9/2016,Sri Lanka,Pallekele International Cricket Stadium,8*,193,27.57,30-Jan,33,28.52,,5,,,,30 years 304 days,Australia,199,Sri Lanka,195,10,5
137,John Hastings,27/09/2016,Ireland,Willowmoore Park,-,193,27.57,Feb-31,35,27.77,,5,,,,30 years 327 days,Australia,199,Ireland,198,10,1
138,John Hastings,30/09/2016,South Africa,SuperSport Park,51,244,30.5,0/52,35,29.26,,5,,,,30 years 330 days,Australia,294,South Africa,295,4,9
139,John Hastings,2/10/2016,South Africa,Wanderers Stadium,23,267,29.67,Mar-57,38,28.45,,5,,,,30 years 332 days,Australia,219,South Africa,361,6,10
140,John Hastings,5/10/2016,South Africa,Kingsmead,-,267,29.67,Feb-79,40,29,,5,,,,30 years 335 days,Australia,371,South Africa,372,6,6
141,John Hastings,8/10/2016,South Africa,St George's Park,4,271,27.1,0/27,40,29.68,,5,,,,30 years 338 days,Australia,167,South Africa,168,4,10
142,John Hastings,2/6/2017,New Zealand,Edgbaston,-,271,27.1,Feb-69,42,29.9,,5,,,,31 years 210 days,Australia,53,New Zealand,291,10,3
143,Josh Hazlewood,19/01/2020,India,M Chinnaswamy Stadium,1*,38,19,Jan-55,73,25.56,,13,,,,29 years 10 days,Australia,286,India,289,3,9
144,Josh Hazlewood,29/02/2020,South Africa,Boland Park,1,39,13,Jan-63,74,26.07,,13,,,,29 years 51 days,Australia,217,South Africa,291,7,10
145,Josh Hazlewood,7/3/2020,South Africa,Senwes Park,-,39,13,Feb-37,76,25.87,,13,,,,29 years 58 days,Australia,254,South Africa,258,4,7
146,Josh Hazlewood,13/03/2020,New Zealand,Sydney Cricket Ground,-,39,13,Feb-37,78,25.68,,13,,,,29 years 64 days,Australia,258,New Zealand,187,10,7
147,Josh Hazlewood,11/9/2020,England,Old Trafford,0*,39,13,26-Mar,81,25.05,2,15,,,,29 years 246 days,Australia,294,England,275,9,9
148,Josh Hazlewood,13/09/2020,England,Old Trafford,7*,46,15.33,27-Jan,82,25.07,,15,,,,29 years 248 days,Australia,207,England,231,9,10
149,Josh Hazlewood,16/09/2020,England,Old Trafford,-,46,15.33,0/68,82,25.9,,15,,,,29 years 251 days,Australia,305,England,302,7,7
150,Josh Hazlewood,27/11/2020,India,Sydney Cricket Ground,-,46,15.33,Mar-55,85,25.64,,15,,,,29 years 323 days,Australia,374,India,308,8,6
151,Josh Hazlewood,29/11/2020,India,Sydney Cricket Ground,-,46,15.33,Feb-59,87,25.72,1,16,,,,29 years 325 days,Australia,389,India,338,9,4
152,Josh Hazlewood,2/12/2020,India,Manuka Oval,7*,53,17.67,Jan-66,88,26.18,,16,,,,29 years 328 days,Australia,289,India,302,5,10
153,Travis Head,26/01/2018,England,Adelaide Oval,96,1042,37.21,0/9,12,61.42,1,11,,,,24 years 28 days,Australia,197,England,196,10,7
154,Travis Head,28/01/2018,England,Perth Stadium,22,1064,36.69,,12,61.42,,11,,,,24 years 30 days,Australia,247,England,259,10,10
155,Travis Head,13/06/2018,England,Kennington Oval,5,1069,35.63,,12,61.42,1,12,,,,24 years 166 days,Australia,214,England,218,7,10
156,Travis Head,16/06/2018,England,Sophia Gardens,19,1088,35.1,,12,61.42,,12,,,,24 years 169 days,Australia,304,England,342,8,10
157,Travis Head,19/06/2018,England,Trent Bridge,51,1139,35.59,,12,61.42,,12,,,,24 years 172 days,Australia,239,England,481,6,10
158,Travis Head,21/06/2018,England,Riverside Ground,63,1202,36.42,,12,61.42,,12,,,,24 years 174 days,Australia,310,England,314,4,8
159,Travis Head,24/06/2018,England,Old Trafford,56,1258,37,,12,61.42,,12,,,,24 years 177 days,Australia,205,England,208,9,10
160,Travis Head,4/11/2018,South Africa,Perth Stadium,1,1259,35.97,,12,61.42,,12,,,,24 years 310 days,Australia,152,South Africa,153,4,10
161,Travis Head,9/11/2018,South Africa,Adelaide Oval,8,1267,35.19,,12,61.42,,12,,,,24 years 315 days,Australia,231,South Africa,224,9,10
162,Travis Head,11/11/2018,South Africa,Bellerive Oval,6,1273,34.41,,12,61.42,,12,,,,24 years 317 days,Australia,280,South Africa,320,5,9
163,Moises Henriques,20/01/2013,Sri Lanka,Sydney Cricket Ground,3,23,5.75,,1,91,,0,,,,25 years 353 days,Australia,222,Sri Lanka,14,0,9
164,Moises Henriques,23/01/2013,Sri Lanka,Bellerive Oval,9*,32,8,Mar-32,4,30.75,1,1,,,,25 years 356 days,Australia,247,Sri Lanka,215,10,5
165,Moises Henriques,23/01/2015,England,Bellerive Oval,4,36,7.2,Jan-34,5,31.4,,1,,,,27 years 356 days,Australia,304,England,303,8,7
166,Moises Henriques,21/08/2016,Sri Lanka,R Premadasa Stadium,6,42,7,Jan-48,6,34.17,,1,,,,29 years 201 days,Australia,228,Sri Lanka,227,8,7
167,Moises Henriques,24/08/2016,Sri Lanka,R Premadasa Stadium,4,46,6.57,0/40,6,40.83,1,2,,,,29 years 204 days,Australia,206,Sri Lanka,288,10,10
168,Moises Henriques,2/6/2017,New Zealand,Edgbaston,18,64,8,0/25,6,45,2,4,,,,30 years 121 days,Australia,53,New Zealand,291,10,3
169,Moises Henriques,5/6/2017,Bangladesh,Kennington Oval,-,64,8,30-Jan,7,42.86,,4,,,,30 years 124 days,Australia,83,Bangladesh,182,10,1
170,Moises Henriques,10/6/2017,England,Edgbaston,17,81,9,0/6,7,43.71,,4,,,,30 years 129 days,Australia,277,England,240,4,9
171,Moises Henriques,29/11/2020,India,Sydney Cricket Ground,2*,83,9.22,Jan-34,8,42.5,1,5,,,,33 years 301 days,Australia,389,India,338,9,4
172,Moises Henriques,2/12/2020,India,Manuka Oval,22,105,10.5,0/7,8,43.38,,5,,,,33 years 304 days,Australia,289,India,302,5,10
173,Usman Khawaja,31/03/2019,Pakistan,Dubai International Cricket Stadium,98,1238,44.21,,0,,,8,,,,32 years 103 days,Australia,327,Pakistan,307,7,7
